alternatif,Laju Pertumbuhan Kumulatif (c-to-c),Laju Pertumbuhan Triwulanan Berantai (q-to-q),Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),Pengangguran,Inflasi,user_id
Tanaman Perkebunan,2.74,2.12,1.96,6.11,3.37,1
Peternakan,2.25,2.83,3.83,1.79,3.81,1
Perikanan,4.39,2.62,5.4,6.39,2.14,1
Industri Makanan dan Minuman,4.73,1.83,4.48,5.14,3.2,1
Industri Kulit  Barang dari Kulit dan Alas Kaki,1.41,0.91,0.3,4.01,2.61,1
Industri Kayu  Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,1.66,1.46,1.35,5.85,2.56,1
Industri Kimia  Farmasi dan Obat Tradisional,1.18,0.24,0.12,4.78,2.28,1
Industri Barang Logam; Komputer Barang Elektronik Optik; dan Peralatan Listrik,13.94,4.89,13.71,4.78,2.54,1
Industri Mesin dan Perlengkapan,0.48,0.49,0.04,2.94,2.68,1
Industri Alat Angkutan,11.5,1.17,7.87,1.32,2.86,1
Ketenagalistrikan,3.66,2.94,5.06,2.94,3.81,1
Pengadaan Gas dan Produksi Es,4.98,0.55,3.55,4.48,2.77,1
Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang,5.14,1.91,4.9,3.9,3.09,1
Konstruksi,3.36,2.54,4.91,3.7,2.28,1
Perdagangan Mobil Sepeda Motor dan Reparasinya,5.8,0.81,4.58,2.94,2.28,1
Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,4.79,2.01,4.92,4.03,2.11,1
Angkutan Darat,9.18,3.86,9.65,3.7,2.28,1
Angkutan Laut,17.37,4.67,15.68,3.57,3.09,1
Angkutan Sungai Danau dan Penyeberangan,20.75,4.49,15.09,4.22,2.97,1
Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,20.26,5.61,18.19,3.91,2.32,1
Penyediaan Akomodasi dan Makan Minum,10.61,3.56,10.06,4.46,2.61,1
Penyediaan Akomodasi,13.69,4.88,13.12,4.68,3.04,1
Penyediaan Makan Minum,9.9,3.25,9.34,3.05,2.81,1
Informasi dan Komunikasi,7.55,2.84,7.6,4.01,2.32,1
