Alternatif,Laju Pertumbuhan Kumulatif (c-to-c),Laju Pertumbuhan Triwulanan Berantai (q-to-q),Laju Pertumbuhan Triwulanan y-on-y,Pengangguran,Inflasi,Skor WP,Peringkat
Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,3.461728078190789,1.5244685785593979,1.7405898335847543,0.8837403505226985,1.0527435667336722,8.545847755176526,1.0
Angkutan Sungai Danau dan Penyeberangan,3.496041377029558,1.4436824203049605,1.6795527042476919,0.8776497680437293,1.0687451087525244,7.951283735368306,2.0
Angkutan Laut,3.248673353984984,1.457623454808082,1.6919050752118923,0.8910575751215623,1.0713337183246303,7.6481769592016535,3.0
Industri Barang Logam; Komputer Barang Elektronik Optik; dan Peralatan Listrik,2.9667078083926515,1.4741215943266435,1.6490578236156552,0.8677930758726357,1.0585848680031311,6.624999188113659,4.0
Penyediaan Akomodasi,2.9446316330303297,1.473383975319987,1.6352571464367556,0.8694576788329181,1.0702668048811064,6.60196890055513,5.0
Penyediaan Akomodasi dan Makan Minum,2.6506133374069907,1.3640407919964803,1.5543565439774822,0.8732605367983566,1.0603440284017152,5.203733088828583,6.0
Penyediaan Makan Minum,2.5759136369563596,1.3339927549576844,1.5324592469796705,0.9038632400212768,1.0651364600452131,5.069693201696093,7.0
Angkutan Darat,2.4968747212714275,1.3912920119766352,1.5420489764805665,0.8881734742124663,1.0516259145833238,5.003481401414678,8.0
Industri Alat Angkutan,2.7402159254794953,1.039133091641782,1.4831320394316791,0.9751492579197938,1.0662844523621073,4.391166954947862,9.0
Informasi dan Komunikasi,2.30333708815055,1.2907274708395564,1.473272953187332,0.8817197574316067,1.0527435667336722,4.065635488396603,10.0
Ketenagalistrikan,1.7083117349801453,1.301694537763224,1.363110230984486,0.9068775910732202,1.0851272167741806,2.982885006652599,11.0
Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang,1.9653404664808465,1.1714170861049582,1.3547679765921883,0.8839455033628426,1.0713337183246303,2.953687450464198,12.0
Perikanan,1.841476488077626,1.2655316834384913,1.38015216241899,0.8452571229090851,1.0475635979670976,2.8479699900451534,13.0
Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,1.9089597834191327,1.1861244137021139,1.3558227030061463,0.8813222358260068,1.0466607090858298,2.831852146964211,14.0
Industri Makanan dan Minuman,1.8990540514958432,1.1592263928437871,1.33177070948744,0.8621003193501714,1.073624990537485,2.7135977045611264,15.0
Konstruksi,1.649063890002512,1.2559728554711436,1.3552957742273968,0.8881734742124663,1.0516259145833238,2.6218684510814407,16.0
Perdagangan Mobil Sepeda Motor dan Reparasinya,2.0658166375542577,0.9497842130311084,1.3373995879859575,0.9068775910732202,1.0516259145833238,2.5025793273271857,17.0
Peternakan,1.397517566618618,1.289614800356676,1.2924764184510944,0.9485958591977103,1.0851272167741806,2.3977383709046434,18.0
Pengadaan Gas dan Produksi Es,1.9398556608785955,0.8640118472650653,1.27386524141921,0.8729064561303753,1.0642041723697777,1.9833769631628064,19.0
Tanaman Perkebunan,1.5159120808222228,1.2016772411081826,1.1371998045629899,0.8486970161842555,1.07702454014828,1.8935505374016424,20.0
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,1.2326671623255931,1.0969419050788816,1.0590118644583988,0.852048774418544,1.0590920844709615,1.2921961962294404,21.0
Industri Kulit Barang dari Kulit dan Alas Kaki,1.152358532039046,0.9772052270128906,0.7945143988495985,0.8817197574316067,1.0603440284017152,0.8364741853754106,22.0
Industri Kimia Farmasi dan Obat Tradisional,1.0707006390914668,0.7054465004195042,0.6669198229552059,0.8677930758726357,1.0516259145833238,0.45970923857106794,23.0
Industri Mesin dan Perlengkapan,0.7386484731778886,0.8399514005692839,0.5406516881270492,0.9068775910732202,1.0620594353587425,0.32307772688806613,24.0
